Affy.ID	HGNC	Ensembl.Gene	Ensembl.Transcript	JH0001.CEL	JH0002.CEL	JH0003.CEL	JH0004.CEL	JH0005.CEL	JH0006.CEL	JH0007.CEL	JH0008.CEL	JH0009.CEL	JH0010.CEL	JH0011.CEL	JH0012.CEL	ID	Reversed_LogFC	Reversed_t	logFC	AveExpr	t	P.Value	adj.P.Val	B
11715110_at	 ARRDC5	 ENSG00000205784	 ENST00000381781	3.860377609	3.992503167	4.738441095	4.188641194	3.902804728	4.039105913	4.068659107	4.199890064	4.136920338	4.063727535	4.188855004	3.814572768	11715110_at	0.035922471	0.218737345	-0.035922471	4.099541543	-0.218737345	0.829925076	0.94915835	-6.345409766
11715111_s_at	 CGB  CGB2 CGB1 CGB5 CGB8 CGB7	 ENSG00000104827 ENSG00000267335 ENSG00000104818 ENSG00000267631 ENSG00000189052 ENSG00000213030 ENSG00000196337	 ENST00000357383 ENST00000591656 ENST00000604577 ENST00000474913 ENST00000359342 ENST00000301407 ENST00000601167 ENST00000391869 ENST00000301408 ENST00000448456 ENST00000355414 ENST00000596965 ENST00000597853 ENST00000377280 ENST00000356213	6.508805888	6.680888001	6.851244713	6.928658979	6.947357639	6.996385269	6.836554587	7.076782615	6.719178338	6.694605534	6.652774471	6.8488669	11715111_s_at	0.160809897	1.188613117	-0.160809897	6.811841911	-1.188613117	0.253828696	0.636256156	-5.671224991
11715112_at	 C1orf173	 ENSG00000178965	 ENST00000326665 ENST00000433746	2.326027486	2.252059871	2.620496524	2.456690044	2.513368937	2.235025935	2.60576056	2.610044919	2.31345099	2.321285034	2.451719686	2.387410257	11715112_at	0.215258127	1.973427686	-0.215258127	2.42444502	-1.973427686	0.067958825	0.37943101	-4.586676736
11715113_x_at	 FAM86B1 FAM86DP FAM86C1	 ENSG00000186523 ENSG00000244026 ENSG00000158483	 ENST00000529146 ENST00000340537 ENST00000431227 ENST00000534187 ENST00000448228 ENST00000533852 ENST00000497543 ENST00000484945 ENST00000459803 ENST00000478666 ENST00000346333 ENST00000510443 ENST00000359244	6.616095401	6.515602953	6.602303056	6.448973568	6.697106761	6.54832462	6.667599031	6.897466938	6.729237257	6.409716197	6.614608834	6.397993498	11715113_x_at	0.090263411	0.703976985	-0.090263411	6.595419009	-0.703976985	0.492676959	0.805000555	-6.117280264
11715114_x_at	 FAM86B1 FAM86DP FAM86C1	 ENSG00000186523 ENSG00000244026 ENSG00000158483	 ENST00000529146 ENST00000340537 ENST00000431227 ENST00000534187 ENST00000448228 ENST00000533852 ENST00000497543 ENST00000484945 ENST00000459803 ENST00000478666 ENST00000346333 ENST00000510443 ENST00000359244	6.66428632	6.63260641	6.603581516	6.423256606	6.789149807	6.677094291	6.750953208	6.489546295	6.623227635	6.465190948	6.595356762	6.443572726	11715114_x_at	-0.139505341	-1.318382679	0.139505341	6.59648521	1.318382679	0.207965358	0.590217003	-5.51939466
11715115_s_at	 HIST1H2BI	 ENSG00000168242	 ENST00000377733	2.293861515	2.454120204	2.287718721	2.503714954	2.10948472	2.440363412	2.36365683	2.601147563	2.193694673	2.324249373	2.394226182	2.298571906	11715115_s_at	0.061567145	0.555574624	-0.061567145	2.355400838	-0.555574624	0.587031705	0.853129981	-6.211649222
11715116_s_at	 HIST1H4E	 ENSG00000198518	 ENST00000360441	4.759376644	4.626486197	4.688196775	4.677862878	4.521164819	4.364651244	4.584830222	4.5908516	4.173994415	4.654218213	4.348644529	4.631867793	11715116_s_at	0.085075539	0.574848757	-0.085075539	4.551845444	-0.574848757	0.574267395	0.84654629	-6.200585947
11715117_x_at	 HIST1H2AJ	 ENSG00000182611	 ENST00000333151	2.510890749	3.175836512	2.488278837	2.538772222	2.446959675	2.573442565	2.687960352	2.645227213	2.514523936	2.370468081	2.444162549	2.211281762	11715117_x_at	-0.241488654	-1.366849853	0.241488654	2.550650371	1.366849853	0.192637734	0.573118561	-5.45953923
11715118_s_at	 HIST1H2BF	 ENSG00000197846	 ENST00000359985	2.345422364	2.614746312	2.506861603	2.920385861	2.585547004	2.568249949	2.460663859	2.433579853	2.71845404	2.313140742	2.576291097	2.829391691	11715118_s_at	0.229073467	1.588256152	-0.229073467	2.572727865	-1.588256152	0.133941974	0.500080408	-5.16593292
11715119_s_at	 C2CD4B	 ENSG00000205502	 ENST00000380392	2.471492979	2.549842499	2.614550851	2.652191334	2.538825624	2.681254317	2.421378246	2.467474365	2.741771886	2.651986669	2.637832165	2.510763032	11715119_s_at	-0.084218252	-0.739263997	0.084218252	2.578280331	0.739263997	0.471628718	0.793224087	-6.091780172
